,single_q,double_q,dashes,braces,spaces,badwords,class,Cluster
216,,,,,,,,Cluster 0
217,1.0,0.0,0.0,1.0,0.0,2.0,bad,Cluster 2
218,,,,,,,,Cluster 0
219,0.0,0.0,0.0,0.0,0.0,3.0,bad,Cluster 2
220,,,,,,,,Cluster 0
221,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
222,,,,,,,,Cluster 0
223,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
224,,,,,,,,Cluster 0
225,1.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 2
226,,,,,,,,Cluster 0
227,6.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
228,,,,,,,,Cluster 0
229,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
230,,,,,,,,Cluster 0
231,2.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
232,,,,,,,,Cluster 0
233,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
234,,,,,,,,Cluster 0
235,6.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
236,,,,,,,,Cluster 0
237,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
238,,,,,,,,Cluster 0
239,2.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
240,,,,,,,,Cluster 0
241,2.0,0.0,1.0,0.0,0.0,3.0,bad,Cluster 1
242,,,,,,,,Cluster 0
243,0.0,0.0,1.0,0.0,0.0,2.0,bad,Cluster 1
244,,,,,,,,Cluster 0
245,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
246,,,,,,,,Cluster 0
247,0.0,0.0,0.0,6.0,0.0,1.0,bad,Cluster 2
248,,,,,,,,Cluster 0
249,0.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
250,,,,,,,,Cluster 0
251,0.0,4.0,0.0,0.0,0.0,1.0,bad,Cluster 0
252,,,,,,,,Cluster 0
253,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
254,,,,,,,,Cluster 0
255,0.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
256,,,,,,,,Cluster 0
257,0.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
258,,,,,,,,Cluster 0
259,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
260,,,,,,,,Cluster 0
261,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
262,,,,,,,,Cluster 0
263,0.0,1.0,1.0,0.0,0.0,1.0,bad,Cluster 1
264,,,,,,,,Cluster 0
265,0.0,0.0,1.0,1.0,0.0,2.0,bad,Cluster 1
266,,,,,,,,Cluster 0
267,0.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
268,,,,,,,,Cluster 0
269,4.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 3
270,,,,,,,,Cluster 0
271,3.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
272,,,,,,,,Cluster 0
273,4.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 3
274,,,,,,,,Cluster 0
275,4.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 3
276,,,,,,,,Cluster 0
277,0.0,0.0,0.0,1.0,0.0,1.0,bad,Cluster 2
278,,,,,,,,Cluster 0
279,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
280,,,,,,,,Cluster 0
281,0.0,0.0,1.0,0.0,0.0,1.0,bad,Cluster 1
282,,,,,,,,Cluster 0
283,0.0,0.0,0.0,0.0,0.0,1.0,bad,Cluster 0
